"","employees","salaries_2017","adjustments","salary_2018","got_raise"
"1","Employee 1",40684.7426085733,-3406.39357222244,37278.3490363508,FALSE
"2","Employee 2",44865.9961414523,4709.72780021839,49575.7239416707,TRUE
"3","Employee 3",40365.790319629,3356.91699758172,43722.7073172107,TRUE
"4","Employee 4",41804.2994569987,9330.56974434294,51134.8692013416,TRUE
"5","Employee 5",41063.0914149806,7414.11085706204,48477.2022720426,TRUE
"6","Employee 6",45969.5992735215,-3130.86708425544,42838.732189266,FALSE
"7","Employee 7",48385.2326101623,6965.83656826988,55351.0691784322,TRUE
"8","Employee 8",46688.3449605666,2663.56456675567,49351.9095273223,TRUE
"9","Employee 9",47769.8495541699,7250.38131000474,55020.2308641747,TRUE
"10","Employee 10",40072.3360176198,-1772.1358849667,38300.2001326531,FALSE
"11","Employee 11",40733.8087400422,2671.48178070784,43405.29052075,TRUE
"12","Employee 12",43785.9473703429,1758.38556257077,45544.3329329137,TRUE
"13","Employee 13",43522.0883111469,-4502.12292838842,39019.9653827585,FALSE
"14","Employee 14",47943.6162859201,-3579.11963597871,44364.4966499414,FALSE
"15","Employee 15",40980.3023864515,3215.04220133647,44195.344587788,TRUE
"16","Employee 16",41033.4319481626,-4032.86774759181,37000.5642005708,FALSE
"17","Employee 17",45930.8611950837,-4856.35954188183,41074.5016532019,FALSE
"18","Employee 18",40419.0674750134,6400.66171647049,46819.7291914839,TRUE
"19","Employee 19",46760.8335614204,916.975166182965,47677.8087276034,TRUE
"20","Employee 20",45622.3606946878,1611.92101426423,47234.281708952,TRUE
"21","Employee 21",48199.6909412555,1399.15804262273,49598.8489838783,TRUE
"22","Employee 22",40707.896403037,1170.63539917581,41878.5318022128,TRUE
"23","Employee 23",48578.4303909168,7786.58681665547,56365.0172075722,TRUE
"24","Employee 24",43801.3933342882,6587.80571189709,50389.1990461852,TRUE
"25","Employee 25",43122.6273300126,9831.01720339619,52953.6445334088,TRUE
"26","Employee 26",44161.7015819065,6094.01206253096,50255.7136444375,TRUE
"27","Employee 27",48369.2062925547,2658.55171368457,51027.7580062393,TRUE
"28","Employee 28",48933.9065854438,6628.55799077079,55562.4645762146,TRUE
"29","Employee 29",43485.3302338161,7718.35538325831,51203.6856170744,TRUE
"30","Employee 30",49766.7127521709,-1689.17435687035,48077.5383953005,FALSE
"31","Employee 31",47744.699541945,1392.08379318006,49136.7833351251,TRUE
"32","Employee 32",44748.6067586578,-1243.13156469725,43505.4751939606,FALSE
"33","Employee 33",48116.63859291,3871.00014719181,51987.6387401018,TRUE
"34","Employee 34",41239.3609667197,9396.59336348996,50635.9543302096,TRUE
"35","Employee 35",49623.8886495121,5729.87937252037,55353.7680220325,TRUE
"36","Employee 36",46115.590238478,2329.69195116311,48445.2821896411,TRUE
"37","Employee 37",47092.8685553372,6787.28011902422,53880.1486743614,TRUE
"38","Employee 38",49134.8432516679,-2410.01621005125,46724.8270416167,FALSE
"39","Employee 39",46120.1870278455,-1925.2089492511,44194.9780785944,FALSE
"40","Employee 40",47542.3106597736,2866.26999499276,50408.5806547664,TRUE
"41","Employee 41",48650.8411006071,5760.45503956266,54411.2961401697,TRUE
"42","Employee 42",46792.8518005647,8291.03642841801,55083.8882289827,TRUE
"43","Employee 43",45477.7086596005,2410.90919123963,47888.6178508401,TRUE
"44","Employee 44",47880.7670017704,5451.41878537834,53332.1857871488,TRUE
"45","Employee 45",45415.7594963908,642.291737021878,46058.0512334127,TRUE
"46","Employee 46",45901.3435151428,7745.95431168564,53647.2978268284,TRUE
"47","Employee 47",43965.8515225165,7664.42901571281,51630.2805382293,TRUE
"48","Employee 48",45332.614146173,605.770405381918,45938.3845515549,TRUE
"49","Employee 49",41315.4478208162,4144.43897549063,45459.8867963068,TRUE
"50","Employee 50",41461.4062523469,2374.02684404515,43835.4330963921,TRUE
"51","Employee 51",47091.5581681766,9058.38809674606,56149.9462649226,TRUE
"52","Employee 52",49044.3970449269,2127.39934213459,51171.7963870615,TRUE
"53","Employee 53",42252.7090623043,-1437.19660933129,40815.5124529731,FALSE
"54","Employee 54",45874.7890195809,4600.31446651556,50475.1034860965,TRUE
"55","Employee 55",41401.331697125,6810.89359917678,48212.2252963018,TRUE
"56","Employee 56",42041.5201643482,1795.19821773283,43836.718382081,TRUE
"57","Employee 57",46063.3739898913,5034.39712454565,51097.7711144369,TRUE
"58","Employee 58",48380.6395274587,6966.54241881333,55347.181946272,TRUE
"59","Employee 59",40502.8394726105,4272.52274006605,44775.3622126766,TRUE
"60","Employee 60",45110.0662094541,-1151.6210262198,43958.4451832343,FALSE
"61","Employee 61",45172.3780971952,-2901.56919509172,42270.8089021035,FALSE
"62","Employee 62",44564.8195757531,6102.25109616295,50667.070671916,TRUE
"63","Employee 63",43951.5814720653,9919.76565681398,53871.3471288793,TRUE
"64","Employee 64",40923.9288978279,9550.18372391351,50474.1126217414,TRUE
"65","Employee 65",41386.053878814,-3745.74057292193,37640.3133058921,FALSE
"66","Employee 66",49166.2179795094,-2238.69348643348,46927.5244930759,FALSE
"67","Employee 67",44145.3719441779,6873.80305491388,51019.1749990918,TRUE
"68","Employee 68",43199.1630024277,5030.74904088862,48229.9120433163,TRUE
"69","Employee 69",43326.4016034082,-1601.64134576917,41724.760257639,FALSE
"70","Employee 70",44141.4588992484,7523.90448120423,51665.3633804526,TRUE
"71","Employee 71",42622.0402191393,1605.1320603583,44227.1722794976,TRUE
"72","Employee 72",49401.6623147763,6021.03334618732,55422.6956609637,TRUE
"73","Employee 73",43129.8924889416,1126.40287727118,44256.2953662127,TRUE
"74","Employee 74",48676.1344177648,1491.96528247558,50168.0997002404,TRUE
"75","Employee 75",40150.4606148228,4577.32203998603,44727.7826548088,TRUE
"76","Employee 76",46492.1795018017,2777.04301872291,49269.2225205246,TRUE
"77","Employee 77",43907.9116471112,-2125.81135449,41782.1002926212,FALSE
"78","Employee 78",44585.4258700274,1376.93310505711,45962.3589750845,TRUE
"79","Employee 79",48285.6475678273,-2807.4076003395,45478.2399674878,FALSE
"80","Employee 80",41851.0519294068,4732.79516096227,46583.8470903691,TRUE
"81","Employee 81",46881.1474111862,1420.585232554,48301.7326437403,TRUE
"82","Employee 82",48084.4656773843,1724.99072970822,49809.4564070925,TRUE
"83","Employee 83",47878.1816526316,-3428.26898791827,44449.9126647133,FALSE
"84","Employee 84",45892.5891108811,1301.5681062825,47194.1572171636,TRUE
"85","Employee 85",43460.3315615095,3503.88678605668,46964.2183475662,TRUE
"86","Employee 86",41894.9454976246,-1019.44846450351,40875.4970331211,FALSE
"87","Employee 87",42664.2552786507,4807.76812066324,47472.0233993139,TRUE
"88","Employee 88",41918.1921985,-3167.00075287372,38751.1914456263,FALSE
"89","Employee 89",44774.1577099077,5395.95738053322,50170.115090441,TRUE
"90","Employee 90",46670.8993748762,6164.02305080555,52834.9224256817,TRUE
"91","Employee 91",42985.4282806627,-4491.09662906267,38494.3316516001,FALSE
"92","Employee 92",41276.4985440299,502.217562170699,41778.7161062006,TRUE
"93","Employee 93",44985.2965725586,2476.61335160956,47461.9099241681,TRUE
"94","Employee 94",48545.0184345245,5663.28993649222,54208.3083710168,TRUE
"95","Employee 95",42065.0118566118,919.60959485732,42984.6214514691,TRUE
"96","Employee 96",41723.7297189422,9909.63407675736,51633.3637956996,TRUE
"97","Employee 97",44298.5511082225,2635.19862783141,46933.7497360539,TRUE
"98","Employee 98",41241.6716641746,3362.51060827635,44604.182272451,TRUE
"99","Employee 99",45842.449918855,5010.24494995363,50852.6948688086,TRUE
"100","Employee 100",42944.1335308366,7682.43691301905,50626.5704438556,TRUE
